year,week,precip
2007,18,0.0
2007,19,0.010714285714285714
2007,20,0.09785714285714288
2007,21,0.10857142857142858
2007,22,0.09357142857142857
2007,23,0.09999999999999999
2007,24,0.011428571428571429
2007,25,0.15785714285714286
2007,26,0.04714285714285714
2007,27,0.09357142857142857
2007,28,0.075
2007,29,0.23714285714285713
2007,30,0.09214285714285715
2007,31,0.17500000000000002
2007,32,0.20428571428571432
2007,33,0.36357142857142855
2007,34,0.5707142857142857
2007,35,0.0
2007,36,0.08
2007,37,0.04357142857142857
2007,38,0.0
2007,39,0.05642857142857143
2007,40,0.05142857142857143
2007,41,0.011428571428571429
2007,42,0.09571428571428572
2007,43,0.08357142857142856
2007,44,0.0
2008,17,0.25375
2008,18,0.27714285714285714
2008,19,0.05857142857142857
2008,20,0.0
2008,21,0.09071428571428572
2008,22,0.3628571428571429
2008,23,0.10071428571428571
2008,24,0.023571428571428577
2008,25,0.07357142857142858
2008,26,0.022857142857142857
2008,27,0.2392857142857143
2008,28,0.2885714285714286
2008,29,0.022857142857142857
2008,30,0.14071428571428574
2008,31,0.22285714285714284
2008,32,0.004285714285714286
2008,33,0.0064285714285714285
2008,34,0.008571428571428572
2008,35,0.4021428571428571
2008,36,1.1528571428571428
2008,37,0.0007142857142857143
2008,38,0.014285714285714287
2008,39,0.075
2008,40,0.15285714285714286
2008,41,0.05214285714285715
2008,42,0.12142857142857143
2008,43,0.0
2009,17,0.01
2009,18,0.1285714285714286
2009,19,0.19357142857142856
2009,20,0.0
2009,21,0.23214285714285715
2009,22,0.10785714285714287
2009,23,0.185
2009,24,0.5271428571428571
2009,25,0.09428571428571429
2009,26,0.029999999999999995
2009,27,0.1285714285714286
2009,28,0.08357142857142856
2009,29,0.03357142857142857
2009,30,0.005714285714285714
2009,31,0.07071428571428572
2009,32,0.0642857142857143
2009,33,0.16285714285714284
2009,34,0.2957142857142857
2009,35,0.002142857142857143
2009,36,0.0007142857142857143
2009,37,0.08499999999999999
2009,38,0.055714285714285716
2009,39,0.14357142857142854
2009,40,0.08785714285714286
2009,41,0.05928571428571428
2009,42,0.3385714285714286
2009,43,0.34
2010,17,0.34
2010,18,0.11571428571428573
2010,19,0.315
2010,20,0.06285714285714286
2010,21,0.0
2010,22,0.3435714285714286
2010,23,0.155
2010,24,0.21500000000000002
2010,25,0.4064285714285714
2010,26,0.002142857142857143
2010,27,0.18142857142857144
2010,28,0.03642857142857143
2010,29,1.0621428571428573
2010,30,0.09142857142857143
2010,31,0.22428571428571428
2010,32,0.07571428571428572
2010,33,0.08714285714285715
2010,34,0.0
2010,35,0.1985714285714286
2010,36,0.028571428571428574
2010,37,0.05785714285714285
2010,38,0.04214285714285715
2010,39,0.05071428571428571
2010,40,0.0
2010,41,0.025714285714285714
2010,42,0.09999999999999999
2010,43,0.04642857142857143
2011,17,0.0
2011,18,0.011428571428571429
2011,19,0.155
2011,20,0.05785714285714285
2011,21,0.6492857142857144
2011,22,0.06999999999999999
2011,23,0.36071428571428577
2011,24,0.12214285714285715
2011,25,0.1457142857142857
2011,26,0.015000000000000001
2011,27,0.005
2011,28,0.038571428571428576
2011,29,0.6314285714285715
2011,30,0.17785714285714285
2011,31,0.20142857142857146
2011,32,0.1871428571428571
2011,33,0.10785714285714286
2011,34,0.075
2011,35,0.02
2011,36,0.014285714285714287
2011,37,0.06071428571428572
2011,38,0.08571428571428572
2011,39,0.2857142857142857
2011,40,0.0
2011,41,0.07571428571428572
2011,42,0.16714285714285718
2011,43,0.05714285714285715
2011,44,0.0
2012,18,0.2983333333333333
2012,19,0.10071428571428573
2012,20,0.023571428571428573
2012,21,0.0
2012,22,0.15357142857142855
2012,23,0.0
2012,24,0.06785714285714285
2012,25,0.002857142857142857
2012,26,0.10428571428571429
2012,27,0.02
2012,28,0.02
2012,29,0.22142857142857145
2012,30,0.12500000000000003
2012,31,0.12285714285714286
2012,32,0.045714285714285714
2012,33,0.10357142857142858
2012,34,0.34785714285714286
2012,35,0.017857142857142856
2012,36,0.14785714285714285
2012,37,0.022857142857142857
2012,38,0.052857142857142866
2012,39,0.0
2012,40,0.03642857142857143
2012,41,0.1692857142857143
2012,42,0.09357142857142857
2012,43,0.12571428571428572
2012,44,0.0
2013,17,0.019999999999999997
2013,18,0.08
2013,19,0.0
2013,20,0.37857142857142856
2013,21,0.35714285714285715
2013,22,0.017142857142857144
2013,23,0.18857142857142856
2013,24,0.13714285714285715
2013,25,0.26357142857142857
2013,26,0.006428571428571429
2013,27,0.09642857142857142
2013,28,0.055714285714285716
2013,29,0.03071428571428572
2013,30,0.12571428571428572
2013,31,0.010714285714285716
2013,32,0.06642857142857143
2013,33,0.04642857142857143
2013,34,0.1442857142857143
2013,35,0.0007142857142857143
2013,36,0.06785714285714285
2013,37,0.13714285714285715
2013,38,0.04428571428571428
2013,39,0.18357142857142855
2013,40,0.009285714285714286
2013,41,0.04785714285714286
2013,42,0.004285714285714286
2013,43,0.5974999999999999
2014,17,0.0275
2014,18,0.22500000000000003
2014,19,0.22071428571428572
2014,20,0.10571428571428572
2014,21,0.10714285714285714
2014,22,0.09214285714285715
2014,23,0.16214285714285712
2014,24,0.30071428571428566
2014,25,0.14714285714285716
2014,26,0.36214285714285716
2014,27,0.42642857142857143
2014,28,0.04785714285714287
2014,29,0.018571428571428572
2014,30,0.02642857142857143
2014,31,0.3321428571428572
2014,32,0.15999999999999998
2014,33,0.5771428571428572
2014,34,0.09142857142857143
2014,35,0.12714285714285714
2014,36,0.22714285714285715
2014,37,0.017142857142857144
2014,38,0.0
2014,39,0.20714285714285713
2014,40,0.002857142857142857
2014,41,0.21928571428571425
2014,42,0.0007142857142857143
2014,43,0.012
