,Date,Time,Latitude,Longitude,DateTime
6018,2013-08-08,8:22:35 PM,41.9191283333333,-87.6967366666667,2013-08-08 20:22:35
6019,2013-08-08,8:23:05 PM,41.918935,-87.696405,2013-08-08 20:23:05
6020,2013-08-08,8:23:15 PM,41.918665000000004,-87.6959483333333,2013-08-08 20:23:15
6021,2013-08-08,8:23:25 PM,41.91852,-87.6955683333333,2013-08-08 20:23:25
6022,2013-08-08,8:23:45 PM,41.918023333333295,-87.6947433333333,2013-08-08 20:23:45
6023,2013-08-08,8:23:55 PM,41.917765,-87.6943316666667,2013-08-08 20:23:55
6024,2013-08-08,8:25:15 PM,41.91823,-87.69242,2013-08-08 20:25:15
6025,2013-08-08,8:25:25 PM,41.9185083333333,-87.6929166666667,2013-08-08 20:25:25
6026,2013-08-08,8:25:35 PM,41.918788333333296,-87.69340333333331,2013-08-08 20:25:35
6027,2013-08-08,8:25:45 PM,41.9190866666667,-87.6938883333333,2013-08-08 20:25:45
6028,2013-08-08,8:25:55 PM,41.919281666666706,-87.69425333333331,2013-08-08 20:25:55
6029,2013-08-08,8:26:15 PM,41.9197583333333,-87.69505500000001,2013-08-08 20:26:15
6030,2013-08-08,8:26:25 PM,41.9199866666667,-87.6954333333333,2013-08-08 20:26:25
6031,2013-08-08,8:26:35 PM,41.920275,-87.69588,2013-08-08 20:26:35
6032,2013-08-08,8:26:45 PM,41.920548333333294,-87.6963316666667,2013-08-08 20:26:45
6033,2013-08-08,8:27:05 PM,41.921015000000004,-87.69686,2013-08-08 20:27:05
6034,2013-08-08,8:27:15 PM,41.921291666666704,-87.6965616666667,2013-08-08 20:27:15
6035,2013-08-08,8:27:55 PM,41.921255,-87.69569666666669,2013-08-08 20:27:55
6036,2013-08-08,8:28:15 PM,41.9208116666667,-87.6962133333333,2013-08-08 20:28:15
6037,2013-08-08,8:30:55 PM,41.9199783333333,-87.6933633333333,2013-08-08 20:30:55
6038,2013-08-08,8:31:05 PM,41.9197183333333,-87.6936716666667,2013-08-08 20:31:05
6039,2013-08-08,8:31:15 PM,41.919505,-87.69348000000001,2013-08-08 20:31:15
6040,2013-08-08,8:31:25 PM,41.9193316666667,-87.69317833333331,2013-08-08 20:31:25
6041,2013-08-08,8:31:35 PM,41.9190916666667,-87.6928483333333,2013-08-08 20:31:35
6042,2013-08-08,8:32:05 PM,41.91853,-87.6919166666667,2013-08-08 20:32:05
6043,2013-08-08,8:32:15 PM,41.918318333333296,-87.6915966666667,2013-08-08 20:32:15
6044,2013-08-08,8:32:25 PM,41.918071666666705,-87.69117666666669,2013-08-08 20:32:25
6045,2013-08-08,8:34:45 PM,41.919461666666706,-87.6914733333333,2013-08-08 20:34:45
