Id,WnvPresent
1,0.08307692307692308
2,0.019655172413793102
3,0.08153846153846153
4,0.0
5,0.0
6,0.0
7,0.05
8,0.0
9,0.039230769230769236
10,0.013448275862068966
11,0.02
12,0.0
13,0.0
14,0.0
15,0.05
16,0.0
17,0.05871794871794872
18,0.015517241379310345
19,0.03538461538461538
20,0.0
21,0.0
22,0.0
23,0.05
24,0.0
25,0.029487179487179487
26,0.013448275862068966
27,0.02
28,0.0
29,0.0
30,0.0
31,0.05
32,0.0
33,0.024615384615384615
34,0.013448275862068966
35,0.0
36,0.0
37,0.0
38,0.0
39,0.05
40,0.0
41,0.039230769230769236
42,0.014827586206896552
43,0.03538461538461538
44,0.0
45,0.0
46,0.0
47,0.05
48,0.0
49,0.024615384615384615
50,0.013448275862068966
51,0.0
52,0.0
53,0.0
54,0.0
55,0.05
56,0.0
57,0.029487179487179487
58,0.013448275862068966
59,0.02
60,0.0
61,0.0
62,0.0
63,0.05
64,0.0
65,0.029487179487179487
66,0.013448275862068966
67,0.02
68,0.0
69,0.0
70,0.0
71,0.05
72,0.0
73,0.06846153846153846
74,0.016206896551724137
75,0.043076923076923075
76,0.0
77,0.0
78,0.0
79,0.05
80,0.0
81,0.024615384615384615
82,0.012758620689655172
83,0.0
84,0.0
85,0.0
86,0.0
87,0.05
88,0.0
89,0.05384615384615385
90,0.014137931034482758
91,0.02
92,0.0
93,0.0
94,0.0
95,0.05
96,0.0
97,0.04410256410256411
98,0.014827586206896552
99,0.02
100,0.0
101,0.0
102,0.0
103,0.05
104,0.0
105,0.024615384615384615
106,0.013448275862068966
107,0.0
108,0.0
109,0.0
110,0.0
111,0.05
112,0.0
113,0.04410256410256411
114,0.014827586206896552
115,0.027692307692307693
116,0.0
117,0.0
118,0.0
119,0.05
120,0.0
121,0.019743589743589744
122,0.01206896551724138
123,0.0
124,0.0
125,0.0
126,0.0
127,0.05
128,0.0
129,0.04410256410256411
130,0.014137931034482758
131,0.027692307692307693
132,0.0
133,0.0
134,0.0
135,0.05
136,0.0
137,0.04410256410256411
138,0.014827586206896552
139,0.02
140,0.0
141,0.0
142,0.0
143,0.05
144,0.0
145,0.0782051282051282
146,0.018275862068965518
147,0.07384615384615384
148,0.0
149,0.0
150,0.0
151,0.05
152,0.0
153,0.05871794871794872
154,0.015517241379310345
155,0.03538461538461538
156,0.0
157,0.0
158,0.0
159,0.05
160,0.0
161,0.06358974358974359
162,0.017586206896551722
163,0.06615384615384615
164,0.0
165,0.0
166,0.0
167,0.05
168,0.0
169,0.029487179487179487
170,0.013448275862068966
171,0.02
172,0.0
173,0.0
174,0.0
175,0.05
176,0.0
177,0.04410256410256411
178,0.014827586206896552
179,0.027692307692307693
180,0.0
181,0.0
182,0.0
183,0.05
184,0.0
185,0.029487179487179487
186,0.014137931034482758
187,0.02
188,0.0
189,0.0
190,0.0
191,0.05
192,0.0
193,0.04897435897435898
194,0.014827586206896552
195,0.03538461538461538
196,0.0
197,0.0
198,0.0
199,0.05
200,0.0
201,0.029487179487179487
202,0.013448275862068966
203,0.02
204,0.0
205,0.0
206,0.0
207,0.05
208,0.0
209,0.05384615384615385
210,0.014137931034482758
211,0.02
212,0.0
213,0.0
214,0.0
215,0.05
216,0.0
217,0.039230769230769236
218,0.014827586206896552
219,0.03538461538461538
220,0.0
221,0.0
222,0.0
223,0.05
224,0.0
225,0.024615384615384615
226,0.013448275862068966
227,0.0
228,0.0
229,0.0
230,0.0
231,0.05
232,0.0
233,0.10256410256410256
234,0.01896551724137931
235,0.08923076923076922
236,0.0
237,0.0
238,0.0
239,0.05
240,0.0
241,0.039230769230769236
242,0.014137931034482758
243,0.027692307692307693
244,0.0
245,0.0
246,0.0
247,0.05
248,0.0
249,0.04410256410256411
250,0.014137931034482758
251,0.027692307692307693
252,0.0
253,0.0
254,0.0
255,0.05
256,0.0
257,0.024615384615384615
258,0.013448275862068966
259,0.0
260,0.0
