,Date,Species,Trap,Latitude,Longitude,NumMosquitos,WnvPresent,cluster
0,2007-05-29,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,1,0,16
1,2007-05-29,CULEX RESTUANS,T002,41.95469,-87.800991,1,0,16
2,2007-05-29,CULEX RESTUANS,T007,41.994991,-87.769279,1,0,30
3,2007-05-29,CULEX PIPIENS/RESTUANS,T015,41.974089,-87.824812,1,0,24
4,2007-05-29,CULEX RESTUANS,T015,41.974089,-87.824812,4,0,24
5,2007-05-29,CULEX RESTUANS,T045,41.9216,-87.666455,2,0,46
6,2007-05-29,CULEX RESTUANS,T046,41.891118,-87.65449100000001,1,0,40
7,2007-05-29,CULEX PIPIENS/RESTUANS,T048,41.867108,-87.654224,1,0,0
8,2007-05-29,CULEX RESTUANS,T048,41.867108,-87.654224,2,0,0
9,2007-05-29,CULEX RESTUANS,T049,41.896282,-87.655232,1,0,40
10,2007-05-29,CULEX PIPIENS/RESTUANS,T050,41.919343,-87.694259,1,0,10
11,2007-05-29,CULEX PIPIENS/RESTUANS,T054,41.921965,-87.632085,2,0,26
12,2007-05-29,CULEX RESTUANS,T054,41.921965,-87.632085,3,0,26
13,2007-05-29,CULEX PIPIENS/RESTUANS,T086,41.688324,-87.676709,1,0,12
14,2007-05-29,CULEX RESTUANS,T086,41.688324,-87.676709,1,0,12
15,2007-05-29,CULEX RESTUANS,T091,41.862292,-87.64886,1,0,0
16,2007-05-29,CULEX RESTUANS,T094,41.720848,-87.666014,3,0,42
17,2007-05-29,CULEX RESTUANS,T096,41.731922,-87.677512,5,0,42
18,2007-05-29,CULEX PIPIENS,T096,41.731922,-87.677512,1,0,42
19,2007-05-29,CULEX PIPIENS/RESTUANS,T129,41.891126,-87.61156,1,0,49
20,2007-05-29,CULEX RESTUANS,T129,41.891126,-87.61156,2,0,49
21,2007-05-29,CULEX PIPIENS/RESTUANS,T143,41.999128999999996,-87.795585,1,0,7
22,2007-05-29,CULEX PIPIENS/RESTUANS,T148,42.01743,-87.68776899999999,1,0,15
23,2007-05-29,CULEX RESTUANS,T153,41.907645,-87.760886,1,0,29
24,2007-05-29,CULEX RESTUANS,T159,41.732984,-87.649642,1,0,2
25,2007-06-05,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,3,0,16
26,2007-06-05,CULEX RESTUANS,T002,41.95469,-87.800991,5,0,16
27,2007-06-05,CULEX PIPIENS,T002,41.95469,-87.800991,1,0,16
28,2007-06-05,CULEX PIPIENS/RESTUANS,T015,41.974089,-87.824812,1,0,24
29,2007-06-05,CULEX RESTUANS,T015,41.974089,-87.824812,2,0,24
30,2007-06-05,CULEX PIPIENS/RESTUANS,T045,41.9216,-87.666455,1,0,46
31,2007-06-05,CULEX RESTUANS,T045,41.9216,-87.666455,2,0,46
32,2007-06-05,CULEX PIPIENS,T045,41.9216,-87.666455,1,0,46
33,2007-06-05,CULEX RESTUANS,T046,41.891118,-87.65449100000001,1,0,40
34,2007-06-05,CULEX PIPIENS/RESTUANS,T048,41.867108,-87.654224,1,0,0
35,2007-06-05,CULEX RESTUANS,T048,41.867108,-87.654224,1,0,0
36,2007-06-05,CULEX PIPIENS,T048,41.867108,-87.654224,2,0,0
37,2007-06-05,CULEX RESTUANS,T049,41.896282,-87.655232,2,0,40
38,2007-06-05,CULEX PIPIENS/RESTUANS,T050,41.919343,-87.694259,1,0,10
39,2007-06-05,CULEX RESTUANS,T050,41.919343,-87.694259,1,0,10
40,2007-06-05,CULEX RESTUANS,T054,41.921965,-87.632085,3,0,26
41,2007-06-05,CULEX RESTUANS,T086,41.688324,-87.676709,4,0,12
42,2007-06-05,CULEX PIPIENS/RESTUANS,T094,41.720848,-87.666014,2,0,42
43,2007-06-05,CULEX PIPIENS/RESTUANS,T096,41.731922,-87.677512,1,0,42
44,2007-06-05,CULEX RESTUANS,T096,41.731922,-87.677512,1,0,42
45,2007-06-05,CULEX PIPIENS,T096,41.731922,-87.677512,1,0,42
46,2007-06-05,CULEX PIPIENS/RESTUANS,T143,41.999128999999996,-87.795585,2,0,7
47,2007-06-05,CULEX RESTUANS,T143,41.999128999999996,-87.795585,9,0,7
48,2007-06-05,CULEX RESTUANS,T153,41.907645,-87.760886,3,0,29
49,2007-06-05,CULEX RESTUANS,T159,41.732984,-87.649642,1,0,2
50,2007-06-05,CULEX RESTUANS,T009,41.981964000000005,-87.812827,2,0,24
51,2007-06-05,CULEX RESTUANS,T011,41.944869,-87.832763,1,0,37
52,2007-06-05,CULEX RESTUANS,T016,42.011601,-87.81150600000001,1,0,7
53,2007-06-05,CULEX RESTUANS,T019,41.94983,-87.69845699999999,1,0,31
54,2007-06-05,CULEX RESTUANS,T025,41.979243,-87.750938,1,0,3
55,2007-06-05,CULEX RESTUANS,T028,41.986921,-87.689778,2,0,48
56,2007-06-05,CULEX PIPIENS/RESTUANS,T031,41.801497999999995,-87.763416,1,0,27
57,2007-06-05,CULEX RESTUANS,T033,41.906638,-87.701431,3,0,10
58,2007-06-05,CULEX RESTUANS,T089,41.723195000000004,-87.64997,1,0,2
59,2007-06-05,CULEX PIPIENS/RESTUANS,T090,41.868077,-87.666901,1,0,0
60,2007-06-05,CULEX RESTUANS,T090,41.868077,-87.666901,7,0,0
61,2007-06-05,CULEX PIPIENS/RESTUANS,T092,41.869215999999994,-87.627561,1,0,38
62,2007-06-05,CULEX PIPIENS/RESTUANS,T135,41.662014,-87.72460799999999,2,0,28
63,2007-06-05,CULEX RESTUANS,T135,41.662014,-87.72460799999999,4,0,28
64,2007-06-05,CULEX PIPIENS,T135,41.662014,-87.72460799999999,1,0,28
65,2007-06-05,CULEX PIPIENS/RESTUANS,T141,41.961743,-87.76007,1,0,39
66,2007-06-05,CULEX RESTUANS,T141,41.961743,-87.76007,2,0,39
67,2007-06-05,CULEX PIPIENS/RESTUANS,T142,41.953067,-87.776792,1,0,16
68,2007-06-05,CULEX RESTUANS,T142,41.953067,-87.776792,3,0,16
69,2007-06-05,CULEX RESTUANS,T145,41.878114000000004,-87.629798,3,0,38
70,2007-06-05,CULEX PIPIENS/RESTUANS,T146,41.958271,-87.702575,1,0,31
71,2007-06-05,CULEX RESTUANS,T146,41.958271,-87.702575,2,0,31
72,2007-06-05,CULEX RESTUANS,T147,41.932094,-87.700117,1,0,10
73,2007-06-05,CULEX PIPIENS/RESTUANS,T149,41.994469,-87.667736,1,0,48
74,2007-06-05,CULEX RESTUANS,T150,42.006858,-87.675919,2,0,15
75,2007-06-05,CULEX PIPIENS/RESTUANS,T151,41.916265,-87.800515,1,0,1
76,2007-06-05,CULEX RESTUANS,T151,41.916265,-87.800515,10,0,1
77,2007-06-05,CULEX RESTUANS,T152,41.846075,-87.716277,1,0,23
78,2007-06-05,CULEX RESTUANS,T154,41.918704999999996,-87.752329,1,0,29
79,2007-06-05,CULEX PIPIENS/RESTUANS,T158,41.682587,-87.707973,3,0,28
80,2007-06-05,CULEX RESTUANS,T158,41.682587,-87.707973,8,0,28
81,2007-06-05,CULEX PIPIENS/RESTUANS,T162,41.725516999999996,-87.61425799999999,1,0,11
82,2007-06-05,CULEX PIPIENS/RESTUANS,T218,41.948167,-87.730698,2,0,14
83,2007-06-05,CULEX RESTUANS,T218,41.948167,-87.730698,1,0,14
84,2007-06-05,CULEX RESTUANS,T220,41.963976,-87.69181,1,0,31
85,2007-06-26,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,1,0,16
86,2007-06-26,CULEX RESTUANS,T002,41.95469,-87.800991,4,0,16
87,2007-06-26,CULEX SALINARIUS,T002,41.95469,-87.800991,1,0,16
88,2007-06-26,CULEX PIPIENS/RESTUANS,T007,41.994991,-87.769279,1,0,30
89,2007-06-26,CULEX RESTUANS,T007,41.994991,-87.769279,4,0,30
90,2007-06-26,CULEX RESTUANS,T015,41.974089,-87.824812,1,0,24
91,2007-06-26,CULEX PIPIENS/RESTUANS,T045,41.9216,-87.666455,1,0,46
92,2007-06-26,CULEX RESTUANS,T045,41.9216,-87.666455,1,0,46
93,2007-06-26,CULEX PIPIENS/RESTUANS,T046,41.891118,-87.65449100000001,1,0,40
94,2007-06-26,CULEX RESTUANS,T046,41.891118,-87.65449100000001,6,0,40
95,2007-06-26,CULEX PIPIENS/RESTUANS,T048,41.867108,-87.654224,2,0,0
96,2007-06-26,CULEX RESTUANS,T049,41.896282,-87.655232,1,0,40
97,2007-06-26,CULEX RESTUANS,T050,41.919343,-87.694259,1,0,10
